# id|phase|ship|size|tabs|competitors|title|how
## Medication logistics
A1|1|OTA|M|Schedules,Life,Signals|CareClinic, Structured, Todoist|Weekly, weekday and every-N-days repeats|Extend RepeatType in lib/db.ts with weekly (chosen weekdays) and every_n_days; update the 60-day series generator, RepeatPicker in app/(tabs)/schedule.tsx and lib/reminderSchedule.ts. One piece of work serves meds (weekly methotrexate, biologics every 2 or 4 weeks, monthly vitamin D, B12), meals, appointments, upkeep and Exercise.
A2|3|OTA|M|Schedules|CareClinic|Tapering doses|A taper step list on treatments (amount per date range), read by the series generator and the dose reminder text. Prednisone tapers in RA, IBD and lupus flares. Needs A1.
A3|2|OTA|S-M|Life,Schedules,Signals,Insights|Medisafe, MyTherapy, CareClinic, Guava|Pills on hand and refill reminder|supply_on_hand, supply_unit and refill_lead_days on treatments, drawn down when a dose is marked taken on Meds, a refill kind in lib/reminderSources.ts, "about 6 days left" in MyMedsSection.tsx.
A4|3|OTA|M|Schedules|MyTherapy|Injection site rotation|dose_sites table, a body-site picker on the dose row, next-site suggestion from pure lib/injectionSites.ts with a test script.
A5|2|OTA|S|Life|Medisafe|Photo of each pill|A photo field on treatments through the shared photo layer (X1), so two white tablets can be told apart.
A6|2|OTA|S|Life|MyTherapy|Pharmacy and prescriber contact with tap to call|Two optional contacts on treatments, or a link to a Life > Emergency contact; Linking opens the dialer. Picks from phone contacts once O1 ships in R1.
A7|3|OTA|M|Schedules|Medisafe|Travel: keep home time or shift to local|A per-treatment switch read by lib/reminderSchedule.ts when the phone's time zone changes.
A8|2|OTA|S|Life|Medisafe|Interaction check the moment a med is added|The My Meds save handler runs evaluateInteractionRules for the new treatment and shows any new warning in the sheet that already reports food supply.
A9|0|DB|S-M|Insights|Drugs.com|A third severity level, major|Add major to interaction_rules.severity and InteractionWarning; regrade existing rules against their citations. The rules live in the LIVE foods_reference.db, so this waits for your yes.
A10|2|OTA|S|Life,Insights|Drugs.com, Medisafe|Drug-to-drug check through Drugs.com|A "Check this list on Drugs.com" button that opens the checker in the browser (the app sends nothing), plus one line saying the app's rules cover food and supplement timing.
A11|0|DEC|L|Insights|Drugs.com, Medisafe|Drug-to-drug data inside the app|NLM retired its free interaction API in January 2024; First Databank, Medi-Span and DrugBank are licensed and priced for companies. A cost decision before any code.
A12|2|OTA|S|Trends,Reports|Medisafe, MyTherapy|Doses taken, said in words|"Taken on 24 of the 28 days a dose was due, 4 not marked" on Trends and in the doctor report. No percentage, no praise.
A13|2|OTA|S|Reports|Drugs.com|A clinician line on each interaction|The mechanism field rides in the doctor report in clinician wording.
A14|5|WK|M|Insights,Life,Food|Drugs.com|Recalls matched to My Meds and scanned foods|External data item 27: the Worker pre-fetches FDA recall feeds as one bundle and the phone matches names locally, so the med list never leaves it.
A15|7|DEC|L|Life|Drugs.com|Pill identifier|Needs a licensed imprint and image database. Listed so nothing is dropped; a cost decision.
A16|3|OTA|L|Life,Schedules,Insights|Medisafe, CareClinic|Caregiver or partner sees a missed dose|Turn on meds, schedule and symptoms for the onTheirBehalf holding in lib/peerRelationships.ts, merge rules in lib/peerMerge.ts, the consent and attestation steps from the Caregiver tier, then a local notification on the other phone after a merge. Timely delivery needs the relay (M1).
A17|2|OTA|S|Life|Medisafe|Put the summary into the phone's Medical ID|A guided screen in EmergencySection.tsx showing each field to copy and opening the phone setting. An app cannot write it directly.
A18|2|OTA|S|Life|Medisafe|Printable wallet card|lib/emergency.ts text laid out as a card through expo-print.
A19|2|OTA|S|Home,Life|Apple Health|Emergency details on the lock screen|An opt-in ongoing notification with the lines the person picks. The widget version rides in R1 and R2.
## The day as one picture
B1|1|OTA|M|Home,Schedules,Life,Signals|Tiimo, Todoist, Structured, mySymptoms|One Today timeline|Pure lib/dayTimeline.ts extending getDayMealAndDoseTimeline with routines, upkeep due, appointments, dated reminders, Days Until, check-ins, flares and sleep, overdue first, a "now" line. A Home card and a Schedules lens, read-only; app/timeline.tsx reads the same builder.
B2|2|OTA|S-M|Home,Schedules|Structured|Phone calendar events on the timeline|Read today's and tomorrow's events live through lib/deviceCalendar.ts without copying them in. The desktop says phone only.
B3|2|OTA|S-M|Home,Life|Tiimo|"Next in 25 minutes" and a running countdown|A line on the timeline, plus an ongoing notification with a chronometer for the current routine or item.
B4|2|OTA|S-M|Life,Schedules|Tiimo, Routinery|Minutes on routine steps and scheduled items|Optional minutes, a routine total ("about 25 minutes"), and whether the day's timed items fit.
B5|3|OTA|S-M|Life|Tiimo|Shrinking ring timer on a routine step|Drawn with react-native-svg, with an alert when it ends.
